2016-04-20 22:03:22 status half-installed insserv:i386 1.14.0-5ubuntu3
2016-04-20 22:03:22 status unpacked insserv:i386 1.14.0-5ubuntu3
2016-04-20 22:03:22 status unpacked insserv:i386 1.14.0-5ubuntu3
2016-04-20 22:03:22 install libacl1:i386 <none> 2.2.52-3
2016-04-20 22:03:22 status half-installed libacl1:i386 2.2.52-3
2016-04-20 22:03:22 status unpacked libacl1:i386 2.2.52-3
2016-04-20 22:03:22 status unpacked libacl1:i386 2.2.52-3
2016-04-20 22:03:22 install libapparmor1:i386 <none> 2.10.95-0ubuntu2
2016-04-20 22:03:22 status half-installed libapparmor1:i386 2.10.95-0ubuntu2
2016-04-20 22:03:22 status unpacked libapparmor1:i386 2.10.95-0ubuntu2
2016-04-20 22:03:22 status unpacked libapparmor1:i386 2.10.95-0ubuntu2
2016-04-20 22:03:22 install libattr1:i386 <none> 1:2.4.47-2
2016-04-20 22:03:22 status half-installed libattr1:i386 1:2.4.47-2
2016-04-20 22:03:22 status unpacked libattr1:i386 1:2.4.47-2
2016-04-20 22:03:22 status unpacked libattr1:i386 1:2.4.47-2
2016-04-20 22:03:22 install libaudit-common:all <none> 1:2.4.5-1ubuntu2
2016-04-20 22:03:22 status half-installed libaudit-common:all 1:2.4.5-1ubuntu2
2016-04-20 22:03:22 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2016-04-20 22:03:22 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2016-04-20 22:03:22 install libaudit1:i386 <none> 1:2.4.5-1ubuntu2
2016-04-20 22:03:22 status half-installed libaudit1:i386 1:2.4.5-1ubuntu2
2016-04-20 22:03:22 status unpacked libaudit1:i386 1:2.4.5-1ubuntu2
2016-04-20 22:03:22 status unpacked libaudit1:i386 1:2.4.5-1ubuntu2
2016-04-20 22:03:22 install libblkid1:i386 <none> 2.27.1-6ubuntu3
2016-04-20 22:03:22 status half-installed libblkid1:i386 2.27.1-6ubuntu3
2016-04-20 22:03:22 status unpacked libblkid1:i386 2.27.1-6ubuntu3
2016-04-20 22:03:22 status unpacked libblkid1:i386 2.27.1-6ubuntu3
2016-04-20 22:03:22 install libbz2-1.0:i386 <none> 1.0.6-8
2016-04-20 22:03:22 status half-installed libbz2-1.0:i386 1.0.6-8
2016-04-20 22:03:22 status unpacked libbz2-1.0:i386 1.0.6-8
2016-04-20 22:03:22 status unpacked libbz2-1.0:i386 1.0.6-8
2016-04-20 22:03:22 install libc-bin:i386 <none> 2.23-0ubuntu3
2016-04-20 22:03:22 status half-installed libc-bin:i386 2.23-0ubuntu3
2016-04-20 22:03:22 status unpacked libc-bin:i386 2.23-0ubuntu3
2016-04-20 22:03:22 status unpacked libc-bin:i386 2.23-0ubuntu3
2016-04-20 22:03:22 upgrade libc6:i386 2.23-0ubuntu3 2.23-0ubuntu3
2016-04-20 22:03:22 status half-configured libc6:i386 2.23-0ubuntu3
2016-04-20 22:03:22 status unpacked libc6:i386 2.23-0ubuntu3
2016-04-20 22:03:22 status half-installed libc6:i386 2.23-0ubuntu3
2016-04-20 22:03:23 status half-installed libc6:i386 2.23-0ubuntu3
2016-04-20 22:03:23 status unpacked libc6:i386 2.23-0ubuntu3
2016-04-20 22:03:23 status unpacked libc6:i386 2.23-0ubuntu3
2016-04-20 22:03:23 install libcap2:i386 <none> 1:2.24-12
2016-04-20 22:03:23 status half-installed libcap2:i386 1:2.24-12
2016-04-20 22:03:23 status unpacked libcap2:i386 1:2.24-12
2016-04-20 22:03:23 status unpacked libcap2:i386 1:2.24-12
2016-04-20 22:03:23 install libcap2-bin:i386 <none> 1:2.24-12
2016-04-20 22:03:23 status half-installed libcap2-bin:i386 1:2.24-12
2016-04-20 22:03:23 status unpacked libcap2-bin:i386 1:2.24-12
2016-04-20 22:03:23 status unpacked libcap2-bin:i386 1:2.24-12
2016-04-20 22:03:23 install libcomerr2:i386 <none> 1.42.13-1ubuntu1
2016-04-20 22:03:23 status half-installed libcomerr2:i386 1.42.13-1ubuntu1
2016-04-20 22:03:23 status unpacked libcomerr2:i386 1.42.13-1ubuntu1
2016-04-20 22:03:23 status unpacked libcomerr2:i386 1.42.13-1ubuntu1
2016-04-20 22:03:23 install libcryptsetup4:i386 <none> 2:1.6.6-5ubuntu2
2016-04-20 22:03:23 status half-installed libcryptsetup4:i386 2:1.6.6-5ubuntu2
2016-04-20 22:03:23 status unpacked libcryptsetup4:i386 2:1.6.6-5ubuntu2
2016-04-20 22:03:23 status unpacked libcryptsetup4:i386 2:1.6.6-5ubuntu2
2016-04-20 22:03:23 install libdb5.3:i386 <none> 5.3.28-11
2016-04-20 22:03:23 status half-installed libdb5.3:i386 5.3.28-11
2016-04-20 22:03:23 status unpacked libdb5.3:i386 5.3.28-11
2016-04-20 22:03:23 status unpacked libdb5.3:i386 5.3.28-11
2016-04-20 22:03:23 install libdebconfclient0:i386 <none> 0.198ubuntu1
2016-04-20 22:03:23 status half-installed libdebconfclient0:i386 0.198ubuntu1
2016-04-20 22:03:23 status unpacked libdebconfclient0:i386 0.198ubuntu1
2016-04-20 22:03:23 status unpacked libdebconfclient0:i386 0.198ubuntu1
2016-04-20 22:03:23 install libdevmapper1.02.1:i386 <none> 2:1.02.110-1ubuntu10
2016-04-20 22:03:23 status half-installed libdevmapper1.02.1:i386 2:1.02.110-1ubuntu10
2016-04-20 22:03:23 status unpacked libdevmapper1.02.1:i386 2:1.02.110-1ubuntu10
2016-04-20 22:03:23 status unpacked libdevmapper1.02.1:i386 2:1.02.110-1ubuntu10
